Dataset,Imputer,Tempo (s)
hosp1,Mean,"189,579301834106"
hosp1,KNN,"197,990413188934"
hosp1,MICE,"249,725125789642"
hosp1,SAEI,"414,921966075897"
hosp1,PMIVAE,"348,663340806961"
hosp1,LPMD,"192,232576608658"
hosp1,LPMD2,"186,14341545105"
hosp2,Mean,"737,741654872894"
hosp2,KNN,"864,710013628006"
hosp2,MICE,"4407,78973770142"
hosp2,SAEI,"1440,90765404701"
hosp2,PMIVAE,"2165,75623321533"
hosp2,LPMD,"847,06246805191"
hosp2,LPMD2,"756,328637361527"
hosp3,Mean,"818,734949111938"
hosp3,KNN,"837,152053833008"
hosp3,MICE,"1531,48763227463"
hosp3,SAEI,"1562,10906338692"
hosp3,PMIVAE,"2684,28642606735"
hosp3,LPMD,"941,811457872391"
hosp3,LPMD2,"749,280284166336"
hosp4,Mean,"238,540026903152"
hosp4,KNN,"242,653933525085"
hosp4,MICE,"248,157966852188"
hosp4,SAEI,"408,432708263397"
hosp4,PMIVAE,"466,448750495911"
hosp4,LPMD,"240,556401252747"
hosp4,LPMD2,"210,396330356598"
