Dataset,Imputer,Tempo (s)
hosp1,Mean,"187,486687421799"
hosp1,KNN,"188,55645275116"
hosp1,MICE,"190,020435094833"
hosp1,LPMD2,"186,444212436676"
hosp2,Mean,"742,884618759155"
hosp2,KNN,"778,079968452454"
hosp2,MICE,"829,365285873413"
hosp2,LPMD2,"824,02657699585"
hosp3,Mean,"932,040260314941"
hosp3,KNN,"835,836300373077"
hosp3,MICE,"1065,71728825569"
hosp3,LPMD2,"729,682015180588"
hosp4,Mean,"230,092554807663"
hosp4,KNN,"220,808228731155"
hosp4,MICE,"222,14711689949"
hosp4,LPMD2,"209,920478820801"
